uid,시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,취급품목,점포수,홈페이지주소,시도군
ae391fe6-e8ef-431f-9a8a-16bafef0ff7d,경동시장,서울특별시 동대문구 제기동 1015,서울특별시 동대문구 왕산로 147,"{'latitude': '37.5787794', 'longitude': '127.0396774'}",매일,상설장,"농산물,수산물,근린생활서비스",678,,서울
0ba966c2-8209-437c-b600-1299e934f6e7,답십리시장,서울특별시 동대문구 답십리동 66-39,서울특별시 동대문구 답신리로51길 3-10,"{'latitude': '37.5731981', 'longitude': '127.0580820'}",매일,상설장,"수산물,가공식품,음식점업,기타소매업",56,,서울
df0abb70-3b16-4c79-ac59-483b9f1262b4,답십리현대시장,서울특별시 동대문구 답십리동 967-5,서울특별시 동대문구 전농로 4길 38,"{'latitude': '37.5667930', 'longitude': '127.0586862'}",매일,상설장,"농산물,수산물,가공식품,의류/신발,음식점업",101,,서울
dea20c8c-9e20-45b8-854e-ecd9e6c791ca,동부시장,서울특별시 동대문구 답십리동 495-1,서울특별시 동대문구 천호대로 281,"{'latitude': '37.5676419', 'longitude': '127.0523272'}",매일,상설장,"농산물,의류/신발,기타소매업,근린생활서비스업",30,,서울
bfb23b9b-bab5-4118-9648-ae355981b435,동서시장,서울특별시 동대문구 제기동 650,서울특별시 동대문구 왕산로33길 13,"{'latitude': '37.5798178', 'longitude': '127.0415478'}",매일,상설장,농산물,43,,서울
cb14011f-1d9c-477d-a117-def96e24aba6,서울약령시장,서울특별시 동대문구  제기동 1082,서울특별시 동대문구 약령중앙로26,"{'latitude': '37.5806721', 'longitude': '127.0376428'}",매일,상설장,"농산물,근린생활서비스",1007,,서울
c587b8c2-9c85-43e7-8906-4d061e336ffe,전농로터리시장,서울특별시 동대문구 전농동 295-52,서울특별시 동대문구 전농로 15길 7,"{'latitude': '37.5779698', 'longitude': '127.0570674'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",85,seoulyak.com,서울
ff2484cd-bdef-4bf3-bd16-0ed3b705b46b,청량리농수산물시장,서울특별시 동대문구 제기동 899-1,서울특별시 동대문구 경동시장로 21,"{'latitude': '37.5809604', 'longitude': '127.0404099'}",매일,상설장,"농산물,축산물,수산물,근린생활서비스",121,,서울
827a7a7a-c0bb-4e17-9420-5941b1388e2a,청량리수산시장,서울특별시 동대문구 용두동 20-1,서울특별시 동대문구 고산자로 34길 48의1,"{'latitude': '37.5780794', 'longitude': '127.0409685'}",매일,상설장,수산물,100,,서울
6d96e431-3dc1-4a9a-9d9e-3820c99069df,청량리전통시장,서울특별시 동대문구 제기동 632의 18,서울특별시 동대문구 경동시장로8길 30,"{'latitude': '37.5809127', 'longitude': '127.0423451'}",매일,상설장,"농산물,축산물,수산물,가공식품",103,,서울
c32da543-4d97-44cc-939f-312a39293309,청량리종합시장,서울특별시 동대문구 제기동 998,서울특별시 동대문구 경동시장로 3-1,"{'latitude': '37.5793683', 'longitude': '127.0408622'}",매일,상설장,"농산물,수산물,가공식품,기타소매업",135,,서울
ae58960d-05c7-477a-97bb-360ab2be4baa,청량리청과물시장,서울특별시 동대문구 제기동 995,서울특별시 동대문구 경동시장로 7,"{'latitude': '37.5795796', 'longitude': '127.0407541'}",매일,상설장,농산물,150,,서울
0af5a5d9-33c7-4ae8-b763-6347587eb353,청량종합도매시장(깡통시장),서울특별시 동대문구 제기동 846-38,서울특별시 동대문구 경동시장로9가길 16,"{'latitude': '37.5819148', 'longitude': '127.0403231'}",매일,상설장,가공식품,56,,서울
604ee66c-82aa-475e-bab9-eb9ee5d9b760,회기시장,서울특별시 동대문구 회기동 57-220,서울특별시 동대문구 회기로25길 11,"{'latitude': '37.5914784', 'longitude': '127.0474713'}",매일,상설장,"농산물,음식점업,기타소매업",64,,서울
c30f9824-5913-451b-96ff-39fd7594fd3b,강남시장,서울특별시 동작구 상도동 488 강남상가아파트,서울특별시 동작구 상도로 357 아파트 시장,"{'latitude': '37.4969426', 'longitude': '126.9535550'}",매일,상설장,"가공식품,기타소매업",30,,서울
91841425-16ef-40ad-bcf4-4c49dc15b516,남성시장,서울특별시 동작구 사당동 88-3,서울특별시 동작구 동작대로29길 8(사당동),"{'latitude': '37.4881637', 'longitude': '126.9815591'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",153,,서울
